ID,Email Address,first name,last name,grade point average,Gender,major,birthday,language,national code,Disciplinary case,passed course unit,enterning year
51,Noemi_Murray2021152898@qu9ml.autos,Noemi,Murray,15.61,Female,Adaptability,7/7/1382,Czech,10111890,FALSE,100,1397
52,Emmanuelle_Lomax1151509003@mpibr.store,Emmanuelle,Lomax,15.25,Female,Self-motivation,11/21/1379,Ukrainian,15460827,FALSE,16,1397
53,Lara_Wright884495246@1wa8o.video,Lara,Wright,18.49,Female,Communication,7/24/1383,Uyghur,19043690,TRUE,124,1400
54,Cadence_Kelly657830090@lyvnc.site,Cadence,Kelly,19.52,Female,Decision Making,7/30/1380,Polish,12666104,FALSE,59,1399
55,Chester_Dillon1630930491@1wa8o.space,Chester,Dillon,18.34,Male,Leadership,2/8/1384,Nepali,13931100,TRUE,115,1397
56,Nate_Grey1847409092@ohqqh.name,Nate,Grey,14.4,Male,Communication,12/9/1380,Persian,11505318,FALSE,37,1401
57,Domenic_Grant1556715992@lyvnc.center,Domenic,Grant,18.44,Male,Learning,11/21/1377,Sundanese,15655047,TRUE,117,1398
58,Joseph_Williams1087698355@lhp4j.digital,Joseph,Williams,16.94,Male,Self-motivation,7/5/1379,Fula,19659467,TRUE,119,1400
59,Leanne_Johnson1212709930@yvu30.website,Leanne,Johnson,18.79,Female,Time Management,2/11/1383,Somali,18691179,TRUE,46,1401
60,Julius_Cunningham1026353843@yahoo.org,Julius,Cunningham,19.76,Male,Communication,9/13/1377,Dutch,17113132,TRUE,26,1397
61,Mina_Plant523898000@y96lx.club,Mina,Plant,18.63,Female,Leadership,9/6/1377,Japanese,18184502,TRUE,131,1401
62,Julius_Bloom800275829@ohqqh.center,Julius,Bloom,12.22,Male,Learning,6/22/1379,Punjabi,18229570,TRUE,112,1399
63,Leroy_Ripley547660421@6ijur.autos,Leroy,Ripley,17.11,Male,Work Under Pressure,2/12/1378,Azerbaijani,12362052,FALSE,58,1397
64,Belinda_Payne10765830@karnv.center,Belinda,Payne,13.57,Female,Self-motivation,3/31/1379,English,12764220,TRUE,67,1399
65,Harriet_Wood659958725@v1wn5.video,Harriet,Wood,18.29,Female,Work Under Pressure,9/30/1381,Dutch,16354680,TRUE,20,1398
66,Rocco_Taylor2128299335@cdpfn.edu,Rocco,Taylor,16.02,Male,Work Under Pressure,3/3/1378,Thai,17682693,TRUE,107,1399
67,Benjamin_Chadwick284997787@nanoff.auction,Benjamin,Chadwick,19.12,Male,Decision Making,11/17/1382,Korean,18703435,TRUE,57,1401
68,Enoch_Rixon777421142@yvu30.center,Enoch,Rixon,16.32,Male,Conflict Resolution,4/9/1380,Thai,18768513,FALSE,82,1400
69,Sebastian_Goldsmith879602063@1wa8o.website,Sebastian,Goldsmith,12.49,Male,Communication,6/7/1382,Arabic,14863289,FALSE,81,1398
70,Julian_Tyrrell927285371@nmz0p.solutions,Julian,Tyrrell,15.76,Male,Self-motivation,12/13/1382,Serbo-Croatian,16800920,TRUE,9,1398
71,Raquel_Grady1974505800@kyb7t.host,Raquel,Grady,17.8,Female,Learning,1/9/1384,Somali,15942755,TRUE,115,1401
72,Chuck_Wood1828143841@d9un8.directory,Chuck,Wood,15.12,Male,Conflict Resolution,8/11/1381,Arabic,16604092,TRUE,141,1401
73,Aiden_Bell1365175202@iaart.property,Aiden,Bell,16.11,Male,Teamwork,12/20/1380,Portuguese,13572245,FALSE,72,1401
74,Helen_Tait1765814343@karnv.info,Helen,Tait,14.59,Female,Teamwork,4/30/1384,Uzbek,12862129,TRUE,133,1398
75,Paige_Rowlands1867489935@yvu30.biz,Paige,Rowlands,14.91,Female,Work Under Pressure,11/20/1377,Hungarian,16009074,FALSE,82,1400
76,Chad_Burge1903428898@hepmv.app,Chad,Burge,15.31,Male,Adaptability,10/24/1382,Russian,15776615,FALSE,47,1397
77,Phillip_Kent615021590@c2nyu.com,Phillip,Kent,12.91,Male,Decision Making,3/8/1379,Bhojpuri,10535227,TRUE,111,1399
78,Mya_Speed1834779684@urn0m.software,Mya,Speed,19.23,Female,Conflict Resolution,2/21/1384,Yue,16573551,TRUE,52,1397
79,David_Tobin508474350@iaart.software,David,Tobin,15.1,Male,Work Under Pressure,1/25/1383,Russian,16731653,TRUE,50,1401
80,Peter_Whitmore1167796954@6ijur.store,Peter,Whitmore,12.92,Male,Time Management,2/2/1381,Polish,13006870,TRUE,45,1399
81,William_Thorpe1518182112@6ijur.shop,William,Thorpe,18.28,Male,Time Management,10/30/1377,German,15599619,TRUE,101,1399
82,Chuck_Ellwood1928720066@yahoo.video,Chuck,Ellwood,19.83,Male,Conflict Resolution,5/12/1380,Czech,12494593,FALSE,71,1400
83,Laila_Wood2093709091@v1wn5.app,Laila,Wood,12.13,Female,Time Management,7/21/1380,Yue,14335369,TRUE,94,1397
84,Johnny_Lomax1132304682@c2nyu.website,Johnny,Lomax,15.28,Male,Learning,10/24/1381,Serbo-Croatian,13943646,TRUE,35,1397
85,Beatrice_Burge534549183@gkvds.design,Beatrice,Burge,17.55,Female,Teamwork,7/14/1383,Ukrainian,14475379,FALSE,114,1400
86,Sabina_Broomfield1842448510@p5emz.space,Sabina,Broomfield,15.68,Female,Adaptability,8/23/1378,Dutch,14652279,FALSE,128,1397
87,Chad_Tait131259295@uagvw.video,Chad,Tait,16.32,Male,Decision Making,3/24/1383,Italian,12704549,TRUE,50,1401
88,Summer_Thomas861559603@urn0m.property,Summer,Thomas,13.71,Female,Time Management,5/3/1383,Somali,11772691,TRUE,5,1398
89,Ruby_Durrant1225284958@voylg.info,Ruby,Durrant,13.45,Female,Conflict Resolution,7/16/1382,English,14872620,TRUE,24,1397
90,Rosie_Boyle1429335363@qu9ml.page,Rosie,Boyle,15.35,Female,Adaptability,4/20/1378,Amharic,15600983,TRUE,28,1400
91,Laila_James63921715@nmz0p.us,Laila,James,17.81,Female,Adaptability,11/13/1382,Uzbek,18150072,FALSE,130,1401
92,Ramon_Oliver1848627477@ckzyi.video,Ramon,Oliver,16.19,Male,Conflict Resolution,4/28/1381,Persian,18745510,TRUE,94,1399
93,George_Knott1653371855@nmz0p.shop,George,Knott,18.01,Male,Decision Making,10/3/1379,Hungarian,10713991,FALSE,82,1398
94,Owen_Mann1978014873@nmz0p.website,Owen,Mann,15.45,Male,Time Management,7/3/1382,Uzbek,15320737,TRUE,106,1398
95,Clint_Graham799399213@xtwt3.com,Clint,Graham,19.25,Male,Teamwork,10/6/1380,Hakka,17177796,FALSE,68,1400
96,Martin_Duvall1911187754@xtwt3.club,Martin,Duvall,18.27,Male,Learning,7/17/1380,Greek,13487767,TRUE,21,1398
97,Elena_Stanton1899799396@iaart.edu,Elena,Stanton,13.55,Female,Work Under Pressure,2/27/1383,Ukrainian,18551664,FALSE,23,1400
98,Lucy_Stewart1088131371@1kmd3.directory,Lucy,Stewart,16.8,Female,Work Under Pressure,4/20/1381,Ukrainian,16778511,TRUE,43,1400
99,Erin_Ballard1484910165@avn7d.solutions,Erin,Ballard,13.84,Female,Adaptability,7/31/1382,Mandarin,14487202,FALSE,63,1400
100,Piper_Asher1600417735@cdpfn.audio,Piper,Asher,12.89,Female,Work Under Pressure,1/16/1382,Hindi,15652514,FALSE,117,1399
101,Alba_Garcia302874208@3wbkp.auction,Alba,Garcia,15.42,Female,Time Management,3/23/1381,Vietnamese,16224207,FALSE,88,1400
102,Estrella_Herbert1174409048@qu9ml.directory,Estrella,Herbert,16.68,Female,Teamwork,9/23/1378,Italian,12677142,FALSE,134,1400
103,Ronald_Harris509680329@nanoff.website,Ronald,Harris,16.73,Male,Leadership,5/26/1379,Swedish,10711024,FALSE,8,1399
104,Daphne_Whatson146765674@lyvnc.media,Daphne,Whatson,14.13,Female,Self-motivation,12/24/1382,Sindhi,19934415,TRUE,5,1400
105,Lillian_Norburn524281847@3wbkp.edu,Lillian,Norburn,14.98,Female,Conflict Resolution,2/6/1379,Belarusian,13169280,FALSE,112,1401
106,Jules_Burge4691939@gnjps.club,Jules,Burge,15.18,Female,Learning,12/3/1383,Hungarian,14341819,FALSE,15,1401
107,Bob_Reading1119205839@avn7d.solutions,Bob,Reading,15.95,Male,Time Management,5/2/1379,Turkish,11111730,FALSE,66,1399
108,Matt_Cobb747940172@3wbkp.zone,Matt,Cobb,14.73,Male,Self-motivation,5/11/1382,Swedish,13084754,TRUE,63,1398
109,George_Oswald614781577@gkvds.solutions,George,Oswald,17.91,Male,Time Management,6/6/1380,Swedish,15144554,FALSE,73,1397
110,Eve_Dallas1555453104@yahoo.solutions,Eve,Dallas,18.96,Female,Leadership,2/2/1383,Czech,15018908,FALSE,7,1400
111,Daniel_Stanley1753854730@zynuu.business,Daniel,Stanley,17.58,Male,Work Under Pressure,3/3/1379,German,13282009,TRUE,7,1401
112,Manuel_Blythe1013985788@kyb7t.meet,Manuel,Blythe,17.86,Male,Learning,5/24/1382,Mandarin,14450723,TRUE,67,1401
113,Matthew_Eaton1822585600@ds59r.app,Matthew,Eaton,12.44,Male,Adaptability,1/8/1378,Belarusian,17673623,TRUE,135,1399
114,Alison_Mason258382095@d9un8.pro,Alison,Mason,15.35,Female,Learning,9/4/1381,Pashto,19575483,TRUE,107,1397
115,Johnny_Cattell688049441@bu2lo.meet,Johnny,Cattell,12.92,Male,Adaptability,2/25/1383,Hindi,12101720,FALSE,128,1400
116,Caleb_Martin1709795249@bqkv0.info,Caleb,Martin,15.75,Male,Decision Making,8/4/1377,Vietnamese,14860684,TRUE,137,1400
117,Chadwick_Addison852166037@cke3u.pro,Chadwick,Addison,16.54,Male,Work Under Pressure,3/5/1378,Malaysian,18108880,TRUE,39,1399
118,Rita_Larsen24562719@gnjps.solutions,Rita,Larsen,13.51,Female,Conflict Resolution,8/22/1380,Mandarin,13381957,FALSE,60,1397
119,Russel_Corbett1447190893@dvqq2.space,Russel,Corbett,12.83,Male,Decision Making,1/21/1381,Greek,13706148,FALSE,53,1398
120,Anthony_Tait1777608986@p5emz.services,Anthony,Tait,18.85,Male,Decision Making,9/3/1379,Somali,12643201,TRUE,70,1399
121,Carl_Faulkner1312408104@p5emz.design,Carl,Faulkner,14.48,Male,Time Management,6/22/1378,Serbo-Croatian,18374418,TRUE,9,1400
122,Elly_Ellis70270852@fhuux.center,Elly,Ellis,13.73,Female,Work Under Pressure,11/2/1377,Mandarin,13209122,FALSE,101,1398
123,Joseph_Addley803356284@1wa8o.site,Joseph,Addley,13.53,Male,Time Management,6/8/1379,Malaysian,11350465,TRUE,105,1397
124,Macy_Khan739905721@yvu30.net,Macy,Khan,12.84,Female,Teamwork,4/5/1380,Hindi,18603941,TRUE,136,1399
125,Doug_Clarkson1923558592@iaart.directory,Doug,Clarkson,12.27,Male,Time Management,1/5/1378,Wu,15109727,TRUE,93,1399
126,Winnie_Potter489159322@bu2lo.edu,Winnie,Potter,14.1,Female,Decision Making,11/13/1379,Uzbek,12116186,FALSE,107,1398
127,Sabina_Mcgee840107285@dvqq2.design,Sabina,Mcgee,16.25,Female,Adaptability,5/29/1381,Malaysian,15849815,TRUE,107,1400
128,Denny_Herbert1883997972@iaart.services,Denny,Herbert,16.41,Male,Self-motivation,5/3/1380,Vietnamese,15860263,FALSE,56,1398
129,Elena_Hewitt610236428@chkzl.digital,Elena,Hewitt,12.8,Female,Leadership,5/12/1378,Arabic,19287336,FALSE,134,1399
130,Luna_Higgs1462252538@ohqqh.tech,Luna,Higgs,15.7,Female,Work Under Pressure,3/4/1383,Fula,11235792,FALSE,108,1397
131,Denis_Poole98902084@gkvds.store,Denis,Poole,15.97,Male,Teamwork,11/30/1381,Sundanese,18754268,FALSE,6,1399
132,Harry_Uttley727083577@nmz0p.host,Harry,Uttley,18.53,Male,Communication,9/15/1377,Czech,13380777,FALSE,12,1399
133,Lillian_Stewart1533560541@6ijur.com,Lillian,Stewart,19.03,Female,Teamwork,7/7/1383,Yoruba,17606831,TRUE,72,1399
134,David_Yarlett1590739680@c2nyu.page,David,Yarlett,19.58,Male,Conflict Resolution,2/26/1378,Bengali,13261888,FALSE,45,1401
135,George_Andrews1946865102@lhp4j.autos,George,Andrews,18.08,Male,Learning,1/12/1382,Yoruba,11340619,TRUE,96,1400
136,Elena_Rogers420506204@ohqqh.video,Elena,Rogers,18.67,Female,Self-motivation,12/19/1379,Greek,18580266,FALSE,54,1397
137,Hank_Tindall1054951614@y96lx.pro,Hank,Tindall,13.26,Male,Decision Making,11/26/1382,Urdu,13026292,FALSE,19,1398
138,Jacqueline_Moss1889662554@1kmd3.autos,Jacqueline,Moss,12.48,Female,Teamwork,12/30/1382,Mandarin,16263282,FALSE,28,1400
139,Manuel_Rose248616316@ohqqh.info,Manuel,Rose,13.87,Male,Leadership,8/14/1382,Greek,18867037,FALSE,119,1398
140,Helen_Robertson1836256390@ds59r.works,Helen,Robertson,19.49,Female,Teamwork,6/5/1382,Thai,11676792,FALSE,88,1399
141,Ron_Garcia1486696408@d9un8.video,Ron,Garcia,18.82,Male,Learning,10/27/1381,Uzbek,12871664,TRUE,66,1397
142,Rocco_Ross1515935016@ckzyi.business,Rocco,Ross,18.09,Male,Adaptability,11/7/1382,Chittagonian,16910118,TRUE,26,1398
143,Ruby_Waterhouse1015551318@evyvh.club,Ruby,Waterhouse,19.04,Female,Learning,7/5/1382,Dutch,13962620,TRUE,3,1401
144,Boris_Booth621708704@bcfhs.com,Boris,Booth,13.69,Male,Self-motivation,7/5/1379,Korean,15512120,FALSE,55,1398
145,Nick_Turner1982408937@d9un8.services,Nick,Turner,13.22,Male,Work Under Pressure,7/14/1381,Bhojpuri,10619564,FALSE,11,1397
146,Isla_Whatson1184889815@hepmv.solutions,Isla,Whatson,19.14,Female,Time Management,11/4/1383,Chittagonian,18846912,TRUE,67,1401
147,Isabel_Harvey1220658249@1wa8o.press,Isabel,Harvey,19.73,Female,Decision Making,9/25/1383,Amharic,15324771,FALSE,42,1401
148,Chris_Harrison1523523029@bcfhs.media,Chris,Harrison,15.7,Male,Work Under Pressure,5/2/1380,Italian,18228353,TRUE,2,1397
149,Fred_Zaoui1530487399@yahoo.zone,Fred,Zaoui,14.67,Male,Conflict Resolution,2/9/1382,Hungarian,12491138,FALSE,79,1400
150,Gil_Dyson305581810@ptr6k.services,Gil,Dyson,13.63,Male,Decision Making,5/21/1379,Sundanese,12458834,TRUE,108,1400
151,Wendy_Button1790873216@y96lx.name,Wendy,Button,19.39,Female,Learning,5/2/1381,Nepali,11219540,TRUE,106,1399
152,Manuel_Stevens193007784@y96lx.info,Manuel,Stevens,17.02,Male,Teamwork,11/5/1377,Sundanese,11182224,FALSE,29,1398
153,Carl_Wills1018146638@hepmv.center,Carl,Wills,13.11,Male,Communication,6/17/1381,Ukrainian,16827120,FALSE,59,1401
154,Rick_Jones2139968140@jh02o.solutions,Rick,Jones,18.86,Male,Work Under Pressure,4/19/1383,Hindi,19843591,FALSE,91,1398
155,Mason_Keys221583324@1wa8o.audio,Mason,Keys,16.55,Male,Work Under Pressure,12/14/1382,Hindi,10631239,TRUE,126,1397
156,William_Davies1219575068@ohqqh.store,William,Davies,12.24,Male,Decision Making,3/7/1382,Sundanese,18095940,TRUE,113,1399
157,Denny_Devonport1911744838@yafr7.name,Denny,Devonport,14.05,Male,Decision Making,8/8/1380,Amharic,10576149,TRUE,135,1397
158,Denis_Harris853234079@yafr7.site,Denis,Harris,19.33,Male,Time Management,2/23/1378,Thai,18009110,FALSE,34,1397
159,Scarlett_Powell438612076@karnv.software,Scarlett,Powell,18.63,Female,Decision Making,7/21/1383,Yoruba,15119122,FALSE,52,1401
160,Clarissa_Jackson1483068136@1wa8o.store,Clarissa,Jackson,12.55,Female,Self-motivation,4/28/1378,Mandarin,15136124,FALSE,84,1400
161,Trisha_Martin928499238@xqj6f.space,Trisha,Martin,17.77,Female,Adaptability,10/2/1380,Yue,11201655,TRUE,17,1401
162,Noah_Bell530415021@evyvh.digital,Noah,Bell,14.13,Male,Leadership,8/14/1377,Belarusian,15156996,FALSE,103,1398
163,Mike_Nurton1121665785@yafr7.media,Mike,Nurton,15.83,Male,Work Under Pressure,10/21/1382,Swedish,16698401,TRUE,12,1398
164,Jasmine_Steer1673813248@xqj6f.website,Jasmine,Steer,18.69,Female,Work Under Pressure,5/7/1380,Persian,12311651,TRUE,125,1398
165,Boris_Sherry442661566@c2nyu.store,Boris,Sherry,16.46,Male,Teamwork,12/10/1383,Nepali,13512099,FALSE,111,1397
166,Bethany_Stewart1756738442@nanoff.name,Bethany,Stewart,14.94,Female,Communication,3/11/1384,Somali,15411266,TRUE,106,1397
167,Clint_Faulkner318525462@p5emz.auction,Clint,Faulkner,19.58,Male,Decision Making,8/1/1380,Sindhi,12685659,TRUE,27,1401
168,Rihanna_Franks696681067@v1wn5.app,Rihanna,Franks,13.78,Female,Decision Making,3/8/1384,Yue,13449587,TRUE,104,1400
169,Alba_Purvis899253631@avn7d.solutions,Alba,Purvis,19.27,Female,Time Management,4/19/1381,Italian,16310457,FALSE,9,1397
170,Kieth_Pearce2080740412@ds59r.website,Kieth,Pearce,13.6,Male,Decision Making,3/27/1378,Italian,15707847,FALSE,78,1400
171,Liam_Wheeler1888999416@dvqq2.site,Liam,Wheeler,18.94,Male,Self-motivation,5/1/1382,Gan Chinese,10933379,FALSE,10,1397
172,Sloane_Taylor1838404153@zynuu.press,Sloane,Taylor,19.62,Female,Teamwork,9/1/1378,Mandarin,18564456,TRUE,40,1397
173,Bethany_Addis385924763@ohqqh.site,Bethany,Addis,14.46,Female,Work Under Pressure,6/17/1379,Polish,16155374,FALSE,27,1397
174,Angelique_Durrant938790055@jcf8v.business,Angelique,Durrant,19.76,Female,Work Under Pressure,1/14/1382,Bhojpuri,16708846,TRUE,10,1397
175,Kurt_Edmonds802775523@c2nyu.software,Kurt,Edmonds,17.54,Male,Learning,4/19/1378,Gan Chinese,17428247,TRUE,26,1399
176,Analise_Redwood641757587@chkzl.page,Analise,Redwood,16.39,Female,Conflict Resolution,8/7/1379,Urdu,12422986,TRUE,10,1400
177,Martin_Rodwell884646989@bqkv0.property,Martin,Rodwell,17.42,Male,Time Management,4/18/1382,Italian,10075003,TRUE,111,1399
178,Morgan_Mccall887125087@kyb7t.catering,Morgan,Mccall,19.45,Female,Teamwork,11/21/1379,Fula,16359198,FALSE,132,1401
179,Elly_Potts327885378@fhuux.mobi,Elly,Potts,16.55,Female,Communication,5/29/1383,Italian,11341727,FALSE,70,1398
180,Aiden_Gonzales66299231@voylg.media,Aiden,Gonzales,16.33,Male,Communication,9/23/1378,Thai,13244985,FALSE,18,1400
181,Courtney_Fox783679350@cke3u.us,Courtney,Fox,17.37,Female,Teamwork,2/13/1380,Hungarian,12077146,TRUE,97,1400
182,Ilona_Rivers657647570@evyvh.app,Ilona,Rivers,16.49,Female,Decision Making,4/16/1380,Romanian,11165206,FALSE,133,1397
183,Emma_Dillon276263940@p5emz.shop,Emma,Dillon,13.86,Female,Time Management,5/1/1379,Azerbaijani,14871034,TRUE,42,1399
184,Barry_Funnell1333820222@p5emz.space,Barry,Funnell,15.84,Male,Self-motivation,9/25/1379,Mandarin,11111258,FALSE,26,1399
185,Greta_Ellis632441346@1kmd3.com,Greta,Ellis,17.61,Female,Decision Making,7/20/1378,Uyghur,11720183,TRUE,130,1398
186,Wade_Wright1117098312@gkvds.pro,Wade,Wright,14.68,Male,Self-motivation,7/23/1381,Korean,19570912,FALSE,138,1401
187,Felicity_Farmer642470459@zynuu.shop,Felicity,Farmer,13.01,Female,Learning,12/31/1378,Tamil,14757482,TRUE,10,1399
188,Maggie_Bradley211040596@bu2lo.name,Maggie,Bradley,12.96,Female,Learning,10/2/1382,Nepali,11794651,TRUE,94,1401
189,Shay_Vallory680474230@yafr7.ca,Shay,Vallory,18.5,Female,Communication,10/9/1380,Thai,10794711,FALSE,21,1400
190,Darlene_Dubois818539730@ohqqh.com,Darlene,Dubois,14.34,Female,Teamwork,6/3/1379,Urdu,16267964,TRUE,28,1400
191,Benjamin_Riley1077907784@p5emz.mobi,Benjamin,Riley,17.39,Male,Teamwork,12/26/1379,Italian,12525170,TRUE,93,1400
192,Marjorie_Sheldon278117195@xtwt3.website,Marjorie,Sheldon,12.32,Female,Adaptability,3/13/1383,Bengali,17822495,TRUE,93,1400
193,Cristal_Drew872793390@1wa8o.video,Cristal,Drew,15.79,Female,Teamwork,4/7/1380,Malaysian,15561300,FALSE,68,1399
194,Emmanuelle_Sherwood647842195@iscmr.video,Emmanuelle,Sherwood,18.7,Female,Learning,10/18/1382,Czech,16217458,TRUE,32,1397
